"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S08000028","Health board","NHS Western Isles",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2026,7572.4,7926.3,7229.9,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22934.7,6873.7,6966.8,6781.5,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27052.3,7064.1,7151,6978,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",80921.7,8026.8,8085.4,7968.6,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2005,"2004 to 2006 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",45470.7,7967,8045.2,7889.2,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",29357,8258,8356.1,8160.7,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8633.3,7929,8103.4,7757.3,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9589.7,6418.5,6552.1,6287,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18592,6983.6,7089.4,6878.9,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33902.7,6778.7,6854.2,6703.8,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",21442.7,7134.9,7234.2,7036.6,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",48922,6821.6,6885.3,6758.3,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1253.7,6476,6859.7,6108,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1423,6869.2,7253.7,6499.6,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1960,7239.4,7582.8,6907.2,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",23453,6952.8,7045.7,6860.7,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",27529.7,7113.4,7200,7027.5,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",82223,8124.4,8183,8066,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2006,"2005 to 2007 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",46099.3,7989.2,8066.9,7912,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",30188.7,8416.1,8514.6,8318.4,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8815,8004.4,8178.9,7832.6,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",9877,6552.6,6686.9,6420.3,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18974.3,7052.5,7158.3,6947.8,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",34446.3,6788.3,6863.3,6713.9,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22012.7,7225.5,7324.8,7127.2,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",49914.7,6873.2,6936.8,6810.1,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1296.3,6578.6,6963.8,6208.8,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1434.3,6881.6,7263.5,6514.3,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2007.7,7312.3,7653.4,6982.4,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",23985.7,7049,7142,6956.8,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",28399,7270,7357.2,7183.5,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",85294,8366.5,8425.7,8307.6,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2007,"2006 to 2008 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",47112,8084.1,8161.8,8006.8,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",30808,8518.6,8617.3,8420.7,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8944.7,8025.9,8199.6,7854.9,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",10183,6686.7,6821.6,6553.8,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",19211.3,7066.4,7171.7,6962.2,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",34903.7,6776,6850.4,6702.2,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22163.7,7182.3,7280.5,7084.9,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",50051.7,6812.1,6875.1,6749.6,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1279,6399.3,6777.9,6036.1,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1386.7,6592.1,6963.6,6235.2,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2077.7,7419.1,7758.4,7090.7,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",24422.7,7124.1,7217.3,7031.8,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",29154.3,7388.5,7476,7301.7,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",86967.7,8462,8521.3,8403,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2008,"2007 to 2009 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",48000.3,8154.5,8232.1,8077.4,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",31079,8526.2,8624.3,8428.8,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8914.7,7886.4,8057,7718.4,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",10339.3,6737.8,6872.8,6604.7,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",18798.7,6858.9,6961.9,6756.9,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",35017.7,6701.2,6774.5,6628.5,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22260.7,7135,7232.3,7038.7,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",49777.3,6697.8,6759.7,6636.3,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1243.7,6052.4,6412.4,5707.1,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1395.3,6536,6900.8,6185.4,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2009,"2008 to 2010 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2058.3,7279.8,7615,6955.3,"Public Health Scotland (SMR01)"
