"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval","data_source"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2020,"2019 to 2021 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",84355,7563.4,7615.6,7511.4,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2020,"2019 to 2021 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",56341,8640.1,8713.1,8567.5,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",32948.7,8585.1,8680.3,8490.7,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",7579.3,5924.4,6063.9,5787.2,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",11498.3,7191.1,7329.1,7054.9,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",24114,8025.6,8128.9,7923.3,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",32622,5667.2,5729.6,5605.3,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",22627.3,6653.5,6743,6565,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",52731,6203.4,6257.4,6149.8,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1292,5359.5,5669,5062.4,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1271.7,5416.2,5726.6,5118.5,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2041,6930.7,7252.1,6619.7,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",28387,7534.3,7623.6,7445.8,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",29781.3,6949.7,7030.1,6869.9,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",81127.3,7255,7306.1,7204.2,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2021,"2020 to 2022 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",54268.7,8286.7,8358,8215.8,"Public Health Scotland (SMR01)"
"S08000015","Health board","NHS Ayrshire & Arran",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33723.7,8768.3,8864.5,8672.9,"Public Health Scotland (SMR01)"
"S08000016","Health board","NHS Borders",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",8093,6315.5,6459.8,6173.6,"Public Health Scotland (SMR01)"
"S08000017","Health board","NHS Dumfries & Galloway",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",11853,7413.9,7554.5,7275.3,"Public Health Scotland (SMR01)"
"S08000019","Health board","NHS Forth Valley",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",25308.7,8380.6,8485.9,8276.4,"Public Health Scotland (SMR01)"
"S08000020","Health board","NHS Grampian",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",33785,5812,5874.9,5749.7,"Public Health Scotland (SMR01)"
"S08000022","Health board","NHS Highland",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",23336.3,6821.5,6911.9,6731.9,"Public Health Scotland (SMR01)"
"S08000024","Health board","NHS Lothian",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",53726.7,6258.8,6312.7,6205.3,"Public Health Scotland (SMR01)"
"S08000025","Health board","NHS Orkney",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1282.7,5232.2,5536.1,4940.6,"Public Health Scotland (SMR01)"
"S08000026","Health board","NHS Shetland",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",1314,5523.9,5835.5,5224.8,"Public Health Scotland (SMR01)"
"S08000028","Health board","NHS Western Isles",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",2062.3,7008.3,7332.5,6694.6,"Public Health Scotland (SMR01)"
"S08000029","Health board","NHS Fife",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",30160.7,7975,8066.8,7884.1,"Public Health Scotland (SMR01)"
"S08000030","Health board","NHS Tayside",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",32327.3,7509.7,7593.2,7427,"Public Health Scotland (SMR01)"
"S08000031","Health board","NHS Greater Glasgow & Clyde",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",83436.3,7407.2,7458.6,7356.2,"Public Health Scotland (SMR01)"
"S08000032","Health board","NHS Lanarkshire",2022,"2021 to 2023 calendar years; 3-year aggregates","Age-sex standardised rate per 100,000","Emergency patient hospitalisations",56086,8497.8,8569.6,8426.4,"Public Health Scotland (SMR01)"
